"date","cms","logcms","ChlRFU","Doper","saltppt","TempC","chlcal","Corr.NTU"
2015-01-01 00:00:00,0.65113,-0.1863323,0.275,98.1,31.955,24.1325,0.36375,0.65
2014-12-31 23:00:00,0.65113,-0.1863323,0.2,98.125,31.9875,24.075,0,0.625
2014-12-31 22:00:00,0.65113,-0.1863323,0.3,98.325,28.9975,23.9875,0.4775,0.675
2014-12-31 21:00:00,0.65113,-0.1863323,0.3,98.1,31.4325,23.815,0.485,0.675
2014-12-31 20:00:00,0.65113,-0.1863323,0.35,98.3,32.32,23.7,0.7125,0.625
2014-12-31 19:00:00,0.65113,-0.1863323,0.25,98.625,30.09,23.99,0.2425,0.925
2014-12-31 18:00:00,0.65113,-0.1863323,0.375,99.2,29.7175,23.9325,0.82625,0.95
2014-12-31 17:00:00,0.65113,-0.1863323,0.25,98.625,30.69,23.945,0.2425,0.85
2014-12-31 16:00:00,0.65113,-0.1863323,0.375,98.2,31.9125,23.9825,0.82625,0.675
2014-12-31 15:00:00,0.65113,-0.1863323,0.225,98.225,32.4825,23.82,0.12125,0.725
2014-12-31 14:00:00,0.6723625,-0.1724697,0.25,98.2,32.4175,23.7075,0.235,0.675
2014-12-31 13:00:00,0.67944,-0.1678489,0.05,98.075,33.365,24.0125,0,0.75
2014-12-31 12:00:00,0.67944,-0.1678489,-0.025,98.1,30.8825,23.87,0,0.7
2014-12-31 11:00:00,0.67944,-0.1678489,0.075,97.55,33.0925,24.5,0,0.725
2014-12-31 10:00:00,0.67944,-0.1678489,0.1,97.075,34.135,24.59,0,0.75
2014-12-31 09:00:00,0.67944,-0.1678489,0.175,96.2,32.9075,24.5125,0.235,0.875
2014-12-31 08:00:00,0.67944,-0.1678489,0.225,96.475,33.48,24.6625,0.2425,0.625
2014-12-31 07:00:00,0.67944,-0.1678489,0.1,96.7,34.02,24.4875,0,0.65
2014-12-31 06:00:00,0.67944,-0.1678489,0.025,96.975,32.7725,24.46,0,0.5
2014-12-31 05:00:00,0.67944,-0.1678489,0.075,97.25,30.8925,24.51,0,0.425
2014-12-31 04:00:00,0.67944,-0.1678489,0.1,97.925,32.45,24.6925,0,0.425
2014-12-31 03:00:00,0.67944,-0.1678489,0.05,97.925,33.0775,24.555,0,0.575
2014-12-31 02:00:00,0.67944,-0.1678489,0.075,96.775,32.33,24.63,0,0.55
2014-12-31 01:00:00,0.67944,-0.1678489,0.125,96.85,32.565,24.72,0.12125,0.625
2014-12-31 00:00:00,0.67944,-0.1678489,0.225,96.85,32.015,24.9275,0.12125,0.575
2014-12-30 23:00:00,0.67944,-0.1678489,0.225,98.375,31.98,24.95,0.12125,0.475
2014-12-30 22:00:00,0.67944,-0.1678489,0.25,100.7,33.205,24.7375,0.47,0.8
2014-12-30 21:00:00,0.67944,-0.1678489,0.225,100.85,31.56,24.42,0.2425,0.95
2014-12-30 20:00:00,0.67944,-0.1678489,0.375,99.375,33.47,24.8275,0.82625,1.1
2014-12-30 19:00:00,0.67944,-0.1678489,0.2,99.475,33.16,24.6575,0,0.85
2014-12-30 18:00:00,0.67944,-0.1678489,0.225,100.475,33.58,24.8525,0.12125,1.925
2014-12-30 17:00:00,0.67944,-0.1678489,0.25,102.2,32.58,25.09,0.2425,0.85
2014-12-30 16:00:00,0.67944,-0.1678489,0.325,101.65,32.775,25.08,0.59125,0.75
2014-12-30 15:00:00,0.67944,-0.1678489,0.3,101.125,30.8,24.83,0.58375,0.725
2014-12-30 14:00:00,0.67944,-0.1678489,0.175,100.45,27.43,24.52,0.12125,0.625
2014-12-30 13:00:00,0.67944,-0.1678489,0,99.525,27.52,24.065,0,0.675
2014-12-30 12:00:00,0.67944,-0.1678489,0.025,100.575,29.265,23.78,0,0.725
2014-12-30 11:00:00,0.67944,-0.1678489,0.025,100.1,31.3525,23.92,0,0.75
2014-12-30 10:00:00,0.67944,-0.1678489,0.1,98.925,31.8275,24.12,0,0.95
2014-12-30 09:00:00,0.67944,-0.1678489,0.3,98.225,30.8725,24.2075,0.47,1.275
2014-12-30 08:00:00,0.6865175,-0.1634167,0.375,97.875,32.07,23.955,0.82625,1.775
2014-12-30 07:00:00,0.6865175,-0.1634167,0.5,97.3,32.1425,24.3075,1.395,2.35
2014-12-30 06:00:00,0.67944,-0.1678489,0.575,93.15,32.1775,24.2825,1.73625,2.25
2014-12-30 05:00:00,0.6865175,-0.1634167,0.5,96.15,33.125,24.31,1.395,1.325
2014-12-30 04:00:00,0.693595,-0.1589845,0.275,97.9,33.4975,24.3525,0.35625,1
2014-12-30 03:00:00,0.7006725,-0.1545523,0.15,99.175,33.6625,24.4175,0,1.025
2014-12-30 02:00:00,0.693595,-0.1589845,0.15,99.975,33.45,24.365,0,0.975
2014-12-30 01:00:00,0.7006725,-0.1545523,0.2,99.475,32.46,23.945,0.2425,0.975
2014-12-30 00:00:00,0.7006725,-0.1545523,0.225,100.75,32.0375,24.265,0.235,0.825
2014-12-29 23:00:00,0.70775,-0.1501201,0.3,103.6,31.6,24.445,0.47,0.925
2014-12-29 22:00:00,0.70775,-0.1501201,0.3,105.3,32.21,24.6525,0.4775,0.625
2014-12-29 21:00:00,0.70775,-0.1501201,0.325,105.55,32.5825,24.69,0.59125,0.625
2014-12-29 20:00:00,0.70775,-0.1501201,0.475,103.775,32.4325,24.8425,1.28125,0.775
2014-12-29 19:00:00,0.70775,-0.1501201,0.375,104.125,30.2425,24.58,0.82625,1.15
2014-12-29 18:00:00,0.70775,-0.1501201,0.4,102.375,27.8975,24.2675,0.9325,1.275
2014-12-29 17:00:00,0.70775,-0.1501201,0.4,103.925,26.9925,24.1125,0.94,1.1
2014-12-29 16:00:00,0.70775,-0.1501201,0.675,105.55,27.1125,23.9525,2.19125,0.925
2014-12-29 15:00:00,0.70775,-0.1501201,0.45,104.8,27.365,23.92,1.1675,0.7
2014-12-29 14:00:00,0.7148275,-0.1458618,0.45,104.6,27.5725,23.72,1.1675,1.125
2014-12-29 13:00:00,0.70775,-0.1501201,0.225,99.925,27.4575,23.385,0.12125,0.375
2014-12-29 12:00:00,0.70775,-0.1501201,0.15,99.375,30.035,23.6,0,0.475
2014-12-29 11:00:00,0.721905,-0.1416035,0.175,99.65,29.825,23.42,0.12125,0.325
2014-12-29 10:00:00,0.7289825,-0.1373451,0.225,100,28.5275,23.365,0.2425,0.225
2014-12-29 09:00:00,0.73606,-0.1330868,0.275,97.975,29.8525,23.5625,0.47,0.325
2014-12-29 08:00:00,0.7289825,-0.1373451,0.325,96.65,28.8875,23.13,0.59125,0.525
2014-12-29 07:00:00,0.73606,-0.1330868,0.275,97.4,29.03,23.1075,0.4775,0.525
2014-12-29 06:00:00,0.73606,-0.1330868,0.4,99.95,29.1975,23.0125,0.94,0.6
2014-12-29 05:00:00,0.7289825,-0.1373451,0.425,100.85,29.35,23.125,1.05375,0.575
2014-12-29 04:00:00,0.73606,-0.1330868,0.5,101.775,28.15,22.9075,1.395,0.7
2014-12-29 03:00:00,0.73606,-0.1330868,0.575,102.125,28.785,23.065,1.73625,0.8
2014-12-29 02:00:00,0.73606,-0.1330868,0.75,101.625,28.865,22.97,2.5325,0.825
2014-12-29 01:00:00,0.73606,-0.1330868,0.75,101.9,28.3675,23.09,2.5325,0.875
2014-12-29 00:00:00,0.73606,-0.1330868,0.875,102.65,29.5625,23.315,3.10125,0.925
2014-12-28 23:00:00,0.73606,-0.1330868,0.85,103.575,29.635,23.6675,2.9875,0.9
2014-12-28 22:00:00,0.73606,-0.1330868,0.95,105.025,30.0375,23.76,3.4425,1.025
2014-12-28 21:00:00,0.7431375,-0.1289892,1,105.3,28.9725,23.745,3.67,1.025
2014-12-28 20:00:00,0.73606,-0.1330868,1.075,106.325,29.765,23.8925,4.01125,1
2014-12-28 19:00:00,0.7431375,-0.1289892,1.1,105.875,29.23,24.0975,4.125,0.85
2014-12-28 18:00:00,0.750215,-0.1248916,0.875,104.9,29.405,23.9125,3.10125,1.15
2014-12-28 17:00:00,0.750215,-0.1248916,0.925,106.525,27.705,23.6825,3.32875,1.75
2014-12-28 16:00:00,0.76437,-0.1166964,1.05,106.7,28.1125,23.645,3.8975,1.175
2014-12-28 15:00:00,0.76437,-0.1166964,0.65,104.7,30.0175,23.815,2.0775,0.775
2014-12-28 14:00:00,0.76437,-0.1166964,0.6,103.45,30.8075,23.97,1.85,0.75
2014-12-28 13:00:00,0.76437,-0.1166964,0.425,101.775,30.82,23.8875,1.05375,0.7
2014-12-28 12:00:00,0.76437,-0.1166964,0.35,100.575,30.8075,23.7625,0.7125,0.7
2014-12-28 11:00:00,0.76437,-0.1166964,0.225,100.025,30.15,23.5575,0.2425,0.725
2014-12-28 10:00:00,0.76437,-0.1166964,0.375,100.05,29.74,23.1975,0.82625,0.85
2014-12-28 09:00:00,0.76437,-0.1166964,0.425,99.25,30.49,23.255,1.05375,0.875
2014-12-28 08:00:00,0.7714475,-0.1127478,0.375,98.45,28.17,22.9425,0.82625,1.475
2014-12-28 07:00:00,0.778525,-0.1087992,0.425,98.225,29.3525,23.04,1.05375,0.85
2014-12-28 06:00:00,0.7856025,-0.1048507,0.475,98.725,29.87,23.1975,1.28125,0.75
2014-12-28 05:00:00,0.778525,-0.1087992,0.45,98.2,30.5825,23.425,1.1675,0.75
2014-12-28 04:00:00,0.79268,-0.1009021,0.45,98.15,30.965,23.5675,1.1675,0.75
2014-12-28 03:00:00,0.79268,-0.1009021,0.55,97.225,31.565,24.0925,1.6225,0.8
2014-12-28 02:00:00,0.79268,-0.1009021,0.6,96.75,31.715,24.255,1.85,1.05
2014-12-28 01:00:00,0.79268,-0.1009021,0.675,101.275,32.8025,24.84,2.19125,0.675
2014-12-28 00:00:00,0.79268,-0.1009021,0.75,102.425,32.8025,24.7625,2.5325,0.55
2014-12-27 23:00:00,0.79268,-0.1009021,0.775,101.225,30.36,24.1825,2.64625,0.8
2014-12-27 22:00:00,0.79268,-0.1009021,0.725,99.775,29.2625,23.885,2.41875,0.95
2014-12-27 21:00:00,0.79268,-0.1009021,0.7,99.975,31.2475,24.1925,2.305,0.55
2014-12-27 20:00:00,0.7997575,-0.09709211,0.7,100.125,31.33,24.4025,2.305,0.65
2014-12-27 19:00:00,0.806835,-0.09328212,0.925,101.15,30.3525,24.2625,3.32875,0.55
2014-12-27 18:00:00,0.8139125,-0.08947212,0.8,102.6,30.53,24.435,2.76,0.725
2014-12-27 17:00:00,0.8139125,-0.08947212,0.725,103.425,31.5475,24.6225,2.41875,0.35
2014-12-27 16:00:00,0.82099,-0.08566213,0.775,103.275,31.51,24.805,2.64625,0.525
2014-12-27 15:00:00,0.82099,-0.08566213,0.675,101.625,30.36,24.605,2.19125,0.5
2014-12-27 14:00:00,0.82099,-0.08566213,0.325,100.05,28.01,24.29,0.59125,0.325
2014-12-27 13:00:00,0.82099,-0.08566213,0.2,98.85,29.45,24.04,0.12125,0.225
2014-12-27 12:00:00,0.82099,-0.08566213,0.25,96.75,30.43,24.43,0.235,0.325
2014-12-27 11:00:00,0.8280675,-0.08198132,0.375,100.575,33.59,25.1925,0.81875,0.4
2014-12-27 10:00:00,0.82099,-0.08566213,0.625,98.5,33.395,25.1075,1.96375,0.5
2014-12-27 09:00:00,0.8280675,-0.08198132,0.925,96.125,33.1675,25.1375,3.32875,0.55
2014-12-27 08:00:00,0.8422225,-0.07461969,0.9,96.975,33.195,25.1475,3.215,0.85
2014-12-27 07:00:00,0.8493,-0.07093888,0.6,96.725,33.0425,25.0925,1.85,0.5
2014-12-27 06:00:00,0.8493,-0.07093888,0.6,95.125,32.0675,24.8875,1.85,0.475
2014-12-27 05:00:00,0.8493,-0.07093888,0.425,94,32.9,25.11,1.05375,0.425
2014-12-27 04:00:00,0.8493,-0.07093888,0.625,95.45,32.2825,24.94,1.96375,0.475
2014-12-27 03:00:00,0.8493,-0.07093888,0.425,96.925,31.6125,24.85,1.05375,0.4
2014-12-27 02:00:00,0.8280675,-0.08198132,0.475,95.7,31.195,24.72,1.28125,0.55
2014-12-27 01:00:00,0.8493,-0.07093888,0.475,98.025,32.5375,25.1725,1.28125,0.425
2014-12-27 00:00:00,0.8493,-0.07093888,0.625,100.875,31.89,25.005,1.96375,0.975
2014-12-26 23:00:00,0.8493,-0.07093888,0.325,99.9,31.0775,24.65,0.6975,0.7
2014-12-26 22:00:00,0.8493,-0.07093888,0.7,100.025,32.6475,25.145,2.305,0.625
2014-12-26 21:00:00,0.8493,-0.07093888,0.675,99.375,32.32,25.11,2.19125,0.425
2014-12-26 20:00:00,0.8493,-0.07093888,0.675,99.675,33.095,25.265,2.19125,0.35
2014-12-26 19:00:00,0.8563775,-0.06737877,0.65,99.2,33.1575,25.265,2.0775,0.5
2014-12-26 18:00:00,0.8705325,-0.06025855,0.6,101.15,31.4975,25.0425,1.85,0.575
2014-12-26 17:00:00,0.87761,-0.05669844,0.45,103.6,31.4,25.165,1.1675,0.45
2014-12-26 16:00:00,0.87761,-0.05669844,0.45,100.6,29.4275,24.45,1.1675,0.375
2014-12-26 15:00:00,0.891765,-0.04980429,0.35,99.725,29.5075,24.4375,0.7125,0.4
2014-12-26 14:00:00,0.87761,-0.05669844,0.25,99.95,29.89,24.5375,0.2425,0.45
2014-12-26 13:00:00,0.87761,-0.05669844,0.1,99.025,29.98,24.5175,0,0.525
2014-12-26 12:00:00,0.87761,-0.05669844,0.15,100.225,31.12,24.5225,0,0.95
2014-12-26 11:00:00,0.87761,-0.05669844,0.125,99.325,32.255,24.5,0,0.725
2014-12-26 10:00:00,0.87761,-0.05669844,0.15,98.4,32.255,24.4375,0.12125,0.65
2014-12-26 09:00:00,0.87761,-0.05669844,0.275,96.85,32.685,24.4725,0.36375,0.65
2014-12-26 08:00:00,0.8846875,-0.05325137,0.4,96.925,32.5175,24.395,0.9325,0.825
2014-12-26 07:00:00,0.90592,-0.04291015,0.475,96.7,32.7025,24.595,1.28125,0.625
2014-12-26 06:00:00,0.90592,-0.04291015,0.35,96.35,32.52,24.46,0.7125,0.55
2014-12-26 05:00:00,0.90592,-0.04291015,0.325,94.8,32.5275,24.5875,0.59125,0.7
2014-12-26 04:00:00,0.90592,-0.04291015,0.325,91.975,32.2975,24.5875,0.59125,0.725
2014-12-26 03:00:00,0.90592,-0.04291015,0.375,99.1,32.4975,24.73,0.82625,0.85
2014-12-26 02:00:00,0.90592,-0.04291015,0.375,99,32.8175,24.77,0.81875,0.925
2014-12-26 01:00:00,0.9129975,-0.03956916,0.275,100.05,32.2425,24.715,0.34875,1.3
2014-12-26 00:00:00,0.9129975,-0.03956916,0.425,100.35,33.05,24.985,1.05375,0.85
2014-12-25 23:00:00,0.920075,-0.03622817,0.375,100.55,31.885,24.855,0.81875,0.95
2014-12-25 22:00:00,0.93423,-0.02954619,0.25,101.125,31.6325,24.755,0.47,0.95
2014-12-25 21:00:00,0.93423,-0.02954619,0.225,100.525,32.5775,24.95,0.235,1.1
2014-12-25 20:00:00,0.93423,-0.02954619,0.125,100.15,31.9775,24.9025,0,1.3
2014-12-25 19:00:00,0.93423,-0.02954619,0.1,100.075,31.9425,24.9125,0,1.2
2014-12-25 18:00:00,0.93423,-0.02954619,0.35,101.55,31.79,24.6725,0.81875,1.15
2014-12-25 17:00:00,0.93423,-0.02954619,0.45,101.225,31.97,24.6975,1.16,2.45
2014-12-25 16:00:00,0.93423,-0.02954619,0.375,100.7,32.285,24.62,0.82625,0.9
2014-12-25 15:00:00,0.93423,-0.02954619,0.525,100.6,31.7825,24.5275,1.50875,0.65
2014-12-25 14:00:00,0.93423,-0.02954619,0.55,101.8,32.435,24.41,1.6225,0.8
2014-12-25 13:00:00,0.93423,-0.02954619,0.45,100.55,32.285,24.2975,1.1675,0.775
2014-12-25 12:00:00,0.93423,-0.02954619,0.325,99.5,32.47,24.27,0.59125,0.625
2014-12-25 11:00:00,0.9413075,-0.02630495,0.25,99.975,32.285,24.4525,0.35625,0.375
2014-12-25 10:00:00,0.9413075,-0.02630495,0.225,98.4,33.0875,24.5675,0.235,0.4
2014-12-25 09:00:00,0.93423,-0.02954619,0.3,99.725,33.3375,24.685,0.59125,0.35
2014-12-25 08:00:00,0.96254,-0.01658121,0.4,98.825,32.6025,24.7725,0.94,0.4
2014-12-25 07:00:00,0.96254,-0.01658121,0.225,98.4,33.33,24.78,0.47,0.375
2014-12-25 06:00:00,0.96254,-0.01658121,0.1,99.325,33.2375,24.775,0,0.4
2014-12-25 05:00:00,0.96254,-0.01658121,0.125,101.025,33.0775,24.76,0,0.35
2014-12-25 04:00:00,0.96254,-0.01658121,0.1,100.075,32.84,24.7025,0,0.375
2014-12-25 03:00:00,0.96254,-0.01658121,0.125,96.975,32.4775,24.685,0,0.7
2014-12-25 02:00:00,0.96254,-0.01658121,0.15,96.3,32.8275,24.8725,0.12125,0.65
2014-12-25 01:00:00,0.9696175,-0.01343393,0.275,94.525,32.8875,25.0275,0.36375,0.775
2014-12-25 00:00:00,0.99085,-0.003992086,0.35,97.325,33.345,25.0375,0.7125,0.725
2014-12-24 23:00:00,0.99085,-0.003992086,0.25,96.025,33.6425,25.09,0.2425,0.75
2014-12-24 22:00:00,0.99085,-0.003992086,0.3,97.625,33.565,25.065,0.4775,0.575
2014-12-24 21:00:00,0.99085,-0.003992086,0.275,98.25,31.6275,24.835,0.36375,0.825
2014-12-24 20:00:00,0.99085,-0.003992086,0.3,98.45,31.175,24.815,0.59125,0.725
2014-12-24 19:00:00,1.0120825,0.005183756,0.25,99.8,30.055,24.5675,0.35625,0.8
2014-12-24 18:00:00,1.01916,0.00824237,0.15,100.825,31.79,24.9275,0,0.75
2014-12-24 17:00:00,1.033315,0.01419198,0.3,100.35,32.33,25.01,0.4775,0.825
2014-12-24 16:00:00,1.0687025,0.028828,0.325,100.775,32.215,25.0175,0.705,0.775
2014-12-24 15:00:00,1.1111675,0.04575332,0.225,102.45,32.095,24.9525,0.2425,1.025
2014-12-24 14:00:00,1.16071,0.06465912,0.275,99.9,32.845,24.69,0.36375,0.45
2014-12-24 13:00:00,1.2527175,0.09772278,0.25,97.75,33.4375,24.9225,0.2425,0.4
2014-12-24 12:00:00,1.3942675,0.144018,0.3,95.825,33.465,25.02,0.4775,0.7
2014-12-24 11:00:00,1.6773675,0.2235678,0.25,94.325,32.6225,24.6225,0.35625,0.475
2014-12-24 10:00:00,2.0737075,0.3163733,0.05,97.975,31.9375,24.35,0,0.4
2014-12-24 09:00:00,2.20818,0.3440345,0.225,98.8,32.7275,24.4075,0.47,0.325
2014-12-24 08:00:00,2.20818,0.3440345,0.4,96.1,34.0875,24.9175,0.9325,0.375
