"date","cms","ChlRFU","Doper","saltppt","TempC","Corr.NTU"
2010-10-23 00:00:00,0.50976,0.875,99.15,32.4475,26.2175,0.2
2010-10-23 01:00:00,0.50976,0.45,96.275,33.3975,26.07,0.2
2010-10-23 02:00:00,0.48852,0.2,95.65,34.1225,26.115,0.175
2010-10-23 03:00:00,0.48144,0.175,94.825,33.995,26.1325,0.15
2010-10-23 04:00:00,0.48144,0.275,94.325,34.155,26.1775,0.1
2010-10-23 05:00:00,0.48144,0.2,94.25,33.755,25.96,0.1
2010-10-23 06:00:00,0.48144,0.225,93.425,33.665,25.8375,0.1
2010-10-23 07:00:00,0.48144,0.375,90.8,33.55,25.7625,0.15
2010-10-23 08:00:00,0.48144,0.4,90.66667,33.63,26.01667,0.1
2010-10-23 09:00:00,0.48144,0.425,90.575,33.0075,25.995,0.1
2010-10-23 10:00:00,0.48144,0.425,97.15,31.3575,25.655,0.15
2010-10-23 11:00:00,0.47436,0.7,99.725,31.9175,25.93,0.225
2010-10-23 12:00:00,0.4602,0.775,101.3,31.3675,25.8225,0.3
2010-10-23 13:00:00,0.4602,0.95,102.075,31.6175,25.955,0.325
2010-10-23 14:00:00,0.45312,1.55,103.825,31.7,25.9475,0.3
2010-10-23 15:00:00,0.45312,2.3,107.05,31.6225,25.9125,0.3
2010-10-23 16:00:00,0.45312,2.6,108.975,31.63,25.89,0.3
2010-10-23 17:00:00,0.45312,2.6,109.5,31.5525,25.7925,0.3
2010-10-23 18:00:00,0.45312,2.775,110.75,30.9375,25.8075,0.175
2010-10-23 19:00:00,0.45312,2.425,108.85,31.58,25.99,0.1
2010-10-23 20:00:00,0.45312,2,105.6,31.5575,25.9,0.1
2010-10-23 21:00:00,0.45312,1.6,101.8,31.9825,25.9025,0.1
2010-10-23 22:00:00,0.45312,1.2,100,32.2675,25.9925,0.1
2010-10-23 23:00:00,0.44604,1.25,97.6,32.46,26.065,0.1
2010-10-24 00:00:00,0.44604,1.15,94.725,32.8125,25.88,0.1
2010-10-24 01:00:00,0.43188,0.65,95.175,33.655,25.8775,0.1
2010-10-24 02:00:00,0.4248,0.45,93.875,33.8775,25.77,0.1
2010-10-24 03:00:00,0.4248,0.4,91.9,34.1975,25.8325,0.1
2010-10-24 04:00:00,0.4248,0.325,91.65,34.3725,25.885,0.175
2010-10-24 05:00:00,0.4248,0.35,91.675,34.3975,25.8375,0.15
2010-10-24 06:00:00,0.4248,0.025,91.275,33.9025,25.56,0.2
2010-10-24 07:00:00,0.4248,-0.025,91.775,33.9725,25.59,0.15
2010-10-24 08:00:00,0.4248,-0.025,92,33.805,25.6475,0.125
2010-10-24 09:00:00,0.4248,0.3,92.45,33.1275,25.6875,0.175
2010-10-24 10:00:00,0.4248,0.375,95.475,32.8125,25.6675,0.275
2010-10-24 11:00:00,0.4248,0.6,99.1,31.215,25.2925,0.225
2010-10-24 12:00:00,0.4248,0.675,100.675,31.0125,25.31,0.3
2010-10-24 13:00:00,0.41772,0.925,104.675,29.6925,25.2,0.3
2010-10-24 14:00:00,0.41772,1.525,109.125,29.455,25.3225,0.225
2010-10-24 15:00:00,0.40356,2.25,112.225,29.675,25.3925,0.1
2010-10-24 16:00:00,0.39648,2.35,113.175,30.1725,25.4625,0.1
2010-10-24 17:00:00,0.39648,2.05,109.5,29.7775,25.58,0.125
2010-10-24 18:00:00,0.39648,1.75,109.075,30.6625,25.75,0.125
2010-10-24 19:00:00,0.39648,1.825,109.1,31.19,25.7825,0.1
2010-10-24 20:00:00,0.39648,1.1,103.95,31.915,25.92,0.125
2010-10-24 21:00:00,0.39648,1.225,104.1,31.3875,25.765,0.1
2010-10-24 22:00:00,0.39648,0.8,101.7,33.0325,26.175,0.1
2010-10-24 23:00:00,0.41772,0.825,99.2,33.3975,26.145,0.125
2010-10-25 00:00:00,0.45312,0.95,99.125,32.1125,25.8075,0.125
2010-10-25 01:00:00,0.45312,0.95,97.55,31.89,25.6625,0.125
2010-10-25 02:00:00,0.45312,1.025,97.55,30.99,25.2825,0.1
2010-10-25 03:00:00,0.45312,0.875,97.775,31.595,25.385,0.1
2010-10-25 04:00:00,0.45312,0.475,96.65,33.235,25.91,0.15
2010-10-25 05:00:00,0.45312,0.375,95.875,33.7925,26.07,0.225
2010-10-25 06:00:00,0.45312,0.275,95.525,33.635,25.8875,0.15
2010-10-25 07:00:00,0.46728,0.475,95.8,32.6275,25.27,0.15
2010-10-25 08:00:00,0.48144,0.425,95.8,31.92,24.9825,0.175
2010-10-25 09:00:00,0.48144,0.4,95.525,31.6775,25.2025,0.175
2010-10-25 10:00:00,0.48144,0.6,96.975,33.065,25.8575,0.1
2010-10-25 11:00:00,0.48144,0.775,98.375,32.4925,25.6125,0.15
2010-10-25 12:00:00,0.50268,0.8,100.125,32.1525,25.4875,0.125
2010-10-25 13:00:00,0.531,1.225,102.275,31.9475,25.575,0.1
2010-10-25 14:00:00,0.53808,1.125,104.825,32.5325,25.895,0.125
